epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.169,1.44352,2.63777,1.49283,0.25954,0.27403,0.18906,0.09449,1.59557,2.57187,1.6566,0.000331878,0.000331878,0.000331878
2,286.964,1.46296,1.93565,1.51754,0.32234,0.30488,0.25172,0.1516,1.52007,2.27247,1.64714,0.000643259,0.000643259,0.000643259
3,412.578,1.44938,1.8207,1.517,0.32622,0.26631,0.22498,0.12622,1.57753,2.21687,1.66254,0.00093264,0.00093264,0.00093264
4,537.991,1.42354,1.78544,1.51118,0.40664,0.31933,0.30952,0.18278,1.47331,1.91653,1.59384,0.000901,0.000901,0.000901
5,661.284,1.43055,1.69624,1.49758,0.31481,0.26554,0.25029,0.14973,1.46312,1.93487,1.59453,0.000868,0.000868,0.000868
6,784.456,1.39526,1.62032,1.48699,0.39084,0.33021,0.29083,0.1721,1.45617,2.0796,1.5422,0.000835,0.000835,0.000835
7,909.978,1.36305,1.5772,1.45807,0.35928,0.33476,0.31229,0.18998,1.39936,1.74465,1.51187,0.000802,0.000802,0.000802
8,1033.28,1.34287,1.52716,1.45645,0.3668,0.31818,0.27651,0.15769,1.51405,2.03395,1.58862,0.000769,0.000769,0.000769
9,1163,1.34521,1.48576,1.44194,0.44424,0.36052,0.35462,0.21982,1.38716,1.56609,1.49328,0.000736,0.000736,0.000736
10,1286.78,1.31287,1.45907,1.42797,0.47477,0.36283,0.37092,0.23889,1.32532,1.56762,1.48608,0.000703,0.000703,0.000703
11,1413.08,1.30661,1.42605,1.42154,0.40775,0.34869,0.35169,0.22126,1.3481,1.60131,1.47476,0.00067,0.00067,0.00067
12,1537.84,1.3054,1.40016,1.4174,0.50018,0.37297,0.42559,0.26956,1.34818,1.39575,1.45195,0.000637,0.000637,0.000637
13,1665.09,1.27733,1.34972,1.40727,0.5106,0.39845,0.4224,0.27225,1.29104,1.36515,1.41167,0.000604,0.000604,0.000604
14,1788.64,1.27922,1.35171,1.40296,0.51674,0.38473,0.42459,0.27918,1.28137,1.35674,1.42004,0.000571,0.000571,0.000571
15,1910.22,1.27264,1.30863,1.39332,0.50253,0.41131,0.42298,0.27657,1.28331,1.33485,1.39943,0.000538,0.000538,0.000538
16,2033.65,1.27119,1.29191,1.39489,0.48795,0.39873,0.41901,0.2698,1.32243,1.35744,1.41494,0.000505,0.000505,0.000505
17,2158.32,1.26467,1.28131,1.38813,0.48122,0.40928,0.43197,0.27999,1.2921,1.34639,1.3932,0.000472,0.000472,0.000472
18,2283.32,1.2533,1.24546,1.37669,0.53082,0.40751,0.45391,0.29812,1.2713,1.37296,1.37868,0.000439,0.000439,0.000439
19,2405.33,1.25021,1.22028,1.36522,0.54465,0.41739,0.47572,0.30883,1.28406,1.22695,1.39822,0.000406,0.000406,0.000406
20,2527.08,1.21975,1.19584,1.35483,0.56306,0.42423,0.46838,0.30872,1.25945,1.2354,1.37821,0.000373,0.000373,0.000373
21,2641.78,1.28352,1.20197,1.40885,0.51459,0.43558,0.47312,0.31511,1.2253,1.23754,1.36546,0.00034,0.00034,0.00034
22,2751.94,1.26913,1.1699,1.40047,0.55541,0.43686,0.49477,0.33164,1.2049,1.15784,1.34103,0.000307,0.000307,0.000307
23,2862.55,1.25808,1.13904,1.38557,0.57063,0.41713,0.48241,0.32034,1.23842,1.1771,1.35974,0.000274,0.000274,0.000274
24,2972.71,1.23996,1.11546,1.38244,0.54511,0.44479,0.48089,0.32598,1.18763,1.2056,1.33072,0.000241,0.000241,0.000241
25,3082.94,1.22714,1.07945,1.36594,0.54996,0.44495,0.47453,0.32004,1.20284,1.17,1.33294,0.000208,0.000208,0.000208
26,3192.18,1.22012,1.05999,1.36208,0.5498,0.44139,0.48103,0.31969,1.23053,1.16389,1.34709,0.000175,0.000175,0.000175
27,3303.49,1.21993,1.04302,1.35587,0.56285,0.4479,0.50901,0.34009,1.19626,1.11983,1.32566,0.000142,0.000142,0.000142
28,3418.57,1.19964,1.0051,1.33881,0.5618,0.4708,0.51316,0.34551,1.19149,1.10872,1.31556,0.000109,0.000109,0.000109
29,3532.5,1.19824,1.00286,1.34238,0.58226,0.45059,0.51211,0.34606,1.18552,1.08981,1.31346,7.6e-05,7.6e-05,7.6e-05
30,3648.36,1.18701,0.9884,1.33178,0.58877,0.46034,0.51419,0.34863,1.17689,1.0885,1.3088,4.3e-05,4.3e-05,4.3e-05
