epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.663,1.46294,2.0465,1.49452,0.3033,0.25016,0.20844,0.11379,1.58137,2.57276,1.66725,0.000331878,0.000331878,0.000331878
2,276.364,1.49867,1.80696,1.53224,0.22317,0.2421,0.17222,0.08917,1.73131,2.43954,1.75533,0.000643259,0.000643259,0.000643259
3,411.978,1.49767,1.78456,1.5432,0.31501,0.26818,0.24614,0.13009,1.63578,2.19219,1.70406,0.00093264,0.00093264,0.00093264
4,546.759,1.47315,1.77973,1.54016,0.38715,0.24377,0.22538,0.13386,1.57475,2.18556,1.69729,0.000901,0.000901,0.000901
5,682.788,1.47087,1.69235,1.51625,0.35147,0.29896,0.28743,0.16752,1.52014,1.95392,1.60499,0.000868,0.000868,0.000868
6,820.547,1.42909,1.63831,1.50004,0.42398,0.32169,0.31653,0.17499,1.56189,1.84829,1.62374,0.000835,0.000835,0.000835
7,958.957,1.39567,1.57221,1.47118,0.37747,0.29797,0.28569,0.16605,1.48791,1.9255,1.58127,0.000802,0.000802,0.000802
8,1094.13,1.36994,1.52832,1.46889,0.40145,0.32315,0.30567,0.18374,1.48117,1.84633,1.58106,0.000769,0.000769,0.000769
9,1227.79,1.37213,1.49064,1.44873,0.41033,0.36541,0.34795,0.2116,1.43427,1.56708,1.52187,0.000736,0.000736,0.000736
10,1360.86,1.33787,1.46345,1.43458,0.4763,0.37241,0.38123,0.24223,1.39545,1.54524,1.52536,0.000703,0.000703,0.000703
11,1495.41,1.32886,1.42422,1.42432,0.43897,0.35168,0.35642,0.22143,1.41843,1.64315,1.49669,0.00067,0.00067,0.00067
12,1630.16,1.3209,1.39599,1.41874,0.47195,0.39311,0.41841,0.26178,1.39224,1.45321,1.4693,0.000637,0.000637,0.000637
13,1763.49,1.29438,1.34579,1.40514,0.46754,0.37227,0.38147,0.24007,1.35684,1.53382,1.46636,0.000604,0.000604,0.000604
14,1897.84,1.29609,1.34417,1.40625,0.52295,0.38173,0.43283,0.27776,1.3437,1.4044,1.4648,0.000571,0.000571,0.000571
15,2034.36,1.28733,1.30645,1.39439,0.51,0.36055,0.40486,0.26226,1.3388,1.42436,1.44728,0.000538,0.000538,0.000538
16,2169.67,1.28343,1.2827,1.38934,0.52519,0.39473,0.44291,0.28057,1.37767,1.3687,1.45021,0.000505,0.000505,0.000505
17,2306.36,1.27602,1.26865,1.38049,0.52775,0.40957,0.4477,0.28942,1.32322,1.32556,1.41758,0.000472,0.000472,0.000472
18,2441.31,1.25946,1.23403,1.37269,0.54368,0.39674,0.45616,0.29943,1.30169,1.3487,1.4247,0.000439,0.000439,0.000439
19,2575.75,1.25613,1.19369,1.36168,0.54495,0.41438,0.46807,0.30705,1.30597,1.2698,1.41553,0.000406,0.000406,0.000406
20,2710.34,1.22484,1.1759,1.35153,0.56632,0.42339,0.48803,0.32087,1.26775,1.23054,1.3834,0.000373,0.000373,0.000373
21,2836.28,1.30364,1.21388,1.41584,0.51317,0.4283,0.45409,0.30278,1.26735,1.27603,1.39855,0.00034,0.00034,0.00034
22,2959.65,1.28687,1.17361,1.40559,0.53316,0.45364,0.47901,0.32019,1.24598,1.19159,1.36535,0.000307,0.000307,0.000307
23,3082.17,1.27215,1.14309,1.38591,0.55595,0.4247,0.47852,0.31623,1.26757,1.22042,1.37592,0.000274,0.000274,0.000274
24,3203.06,1.25429,1.10773,1.38386,0.57575,0.43781,0.5069,0.3436,1.21371,1.17704,1.34976,0.000241,0.000241,0.000241
25,3324.27,1.23907,1.07353,1.36665,0.54175,0.45092,0.4938,0.32844,1.2405,1.18904,1.35397,0.000208,0.000208,0.000208
26,3443.73,1.22672,1.05114,1.35669,0.56167,0.43312,0.48335,0.32371,1.25208,1.16762,1.35923,0.000175,0.000175,0.000175
27,3564.14,1.22324,1.03056,1.34809,0.59147,0.4379,0.51306,0.34594,1.22401,1.12865,1.34309,0.000142,0.000142,0.000142
28,3685.29,1.20162,0.99194,1.33198,0.58352,0.44086,0.51227,0.3501,1.21777,1.12937,1.33849,0.000109,0.000109,0.000109
29,3806.73,1.19831,0.97865,1.33402,0.57154,0.46759,0.52591,0.35565,1.21036,1.10469,1.32888,7.6e-05,7.6e-05,7.6e-05
30,3927.72,1.1858,0.96375,1.32222,0.5789,0.4562,0.52259,0.35641,1.20113,1.09874,1.32546,4.3e-05,4.3e-05,4.3e-05
