epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.344,1.44098,2.42203,1.48128,0.25817,0.23924,0.181,0.09237,1.59271,2.81244,1.6317,0.000331878,0.000331878,0.000331878
2,252.76,1.45671,1.90885,1.50517,0.3585,0.2324,0.22346,0.138,1.53974,2.37965,1.66496,0.000643259,0.000643259,0.000643259
3,374.908,1.44456,1.816,1.50551,0.31785,0.27918,0.22911,0.12187,1.67357,2.27144,1.75329,0.00093264,0.00093264,0.00093264
4,495.849,1.41793,1.77841,1.50333,0.38643,0.29481,0.28047,0.15998,1.53386,2.04121,1.61983,0.000901,0.000901,0.000901
5,615.301,1.42749,1.69023,1.48469,0.38637,0.30501,0.31271,0.18454,1.5195,1.84362,1.58231,0.000868,0.000868,0.000868
6,733.677,1.39456,1.62781,1.47493,0.42926,0.2692,0.2671,0.15198,1.51326,2.30145,1.58377,0.000835,0.000835,0.000835
7,853.037,1.36753,1.58023,1.45231,0.38881,0.3343,0.30725,0.18473,1.42262,1.73705,1.53047,0.000802,0.000802,0.000802
8,972.036,1.34048,1.53299,1.4501,0.41989,0.34176,0.34413,0.21102,1.42862,1.8438,1.51232,0.000769,0.000769,0.000769
9,1092.23,1.3543,1.50191,1.438,0.43572,0.35352,0.34926,0.21251,1.42228,1.58598,1.515,0.000736,0.000736,0.000736
10,1212.5,1.31778,1.47167,1.42248,0.46617,0.3419,0.35157,0.23065,1.35073,1.66365,1.51816,0.000703,0.000703,0.000703
11,1333.18,1.31166,1.43972,1.41554,0.41156,0.36783,0.35779,0.22648,1.35391,1.64852,1.46905,0.00067,0.00067,0.00067
12,1451.35,1.3073,1.41422,1.41217,0.48322,0.38514,0.4121,0.26536,1.34889,1.41637,1.44481,0.000637,0.000637,0.000637
13,1569.83,1.28133,1.3642,1.40297,0.46343,0.34017,0.35134,0.21377,1.405,1.69883,1.49551,0.000604,0.000604,0.000604
14,1687.54,1.28307,1.36414,1.40121,0.46077,0.35713,0.36379,0.23181,1.35205,1.57397,1.47493,0.000571,0.000571,0.000571
15,1804.97,1.27776,1.33166,1.39224,0.50654,0.37386,0.41357,0.2694,1.32916,1.40779,1.43103,0.000538,0.000538,0.000538
16,1926.37,1.27711,1.30512,1.38831,0.53786,0.40741,0.45708,0.29465,1.32228,1.32049,1.41192,0.000505,0.000505,0.000505
17,2044.79,1.26906,1.30203,1.38371,0.55401,0.39591,0.45269,0.29949,1.27408,1.28292,1.39056,0.000472,0.000472,0.000472
18,2162.73,1.25329,1.27101,1.37589,0.52734,0.41135,0.45938,0.30133,1.28731,1.32848,1.40944,0.000439,0.000439,0.000439
19,2283.28,1.25307,1.23655,1.36785,0.51806,0.40877,0.44714,0.29556,1.28487,1.33526,1.40398,0.000406,0.000406,0.000406
20,2402.95,1.22187,1.21691,1.35567,0.54538,0.42211,0.46503,0.30686,1.26888,1.26383,1.38366,0.000373,0.000373,0.000373
21,2514.3,1.28991,1.25395,1.41266,0.53176,0.41847,0.46466,0.31186,1.24288,1.25879,1.37397,0.00034,0.00034,0.00034
22,2621.07,1.27724,1.21629,1.40916,0.54134,0.42443,0.46709,0.31313,1.25857,1.24888,1.37468,0.000307,0.000307,0.000307
23,2728.34,1.26858,1.17823,1.39356,0.54272,0.4221,0.46462,0.31173,1.2465,1.24866,1.37136,0.000274,0.000274,0.000274
24,2836.82,1.25432,1.15813,1.39482,0.55843,0.42661,0.47799,0.32249,1.20443,1.21351,1.35289,0.000241,0.000241,0.000241
25,2945.13,1.24012,1.12142,1.37753,0.56565,0.4407,0.47688,0.32047,1.22294,1.21894,1.34393,0.000208,0.000208,0.000208
26,3054.44,1.23183,1.1022,1.37148,0.57054,0.4382,0.49716,0.33238,1.23681,1.17194,1.35111,0.000175,0.000175,0.000175
27,3162.79,1.23077,1.08579,1.36261,0.58512,0.42689,0.49471,0.33465,1.2101,1.15618,1.33756,0.000142,0.000142,0.000142
28,3270.29,1.21494,1.05096,1.35139,0.57905,0.42868,0.49625,0.33616,1.20737,1.16166,1.33439,0.000109,0.000109,0.000109
29,3378.74,1.20748,1.04941,1.34877,0.56755,0.44823,0.50948,0.34476,1.19852,1.12789,1.3273,7.6e-05,7.6e-05,7.6e-05
30,3486.21,1.19779,1.03148,1.34219,0.56646,0.4483,0.50412,0.34324,1.19137,1.12751,1.32209,4.3e-05,4.3e-05,4.3e-05
